Modelo,Marca,Motor,Consumo,Combustible,Comienzo de producción,Fin de producción,Asientos,Puertas,Peso (kg),Carga máxima (kg),País de origen,Precio estimado (€),Matrícula,Fecha de matriculación
308,Peugeot,1.0 VTEC,8.9,Híbrido,1999,2005,9,4,2147,513,Francia,27577,2199CYO,21/12/2002
Mustang,Ford,1.0 TDI,4.1,Gasolina,1995,2007,1,2,1029,706,Estados Unidos,25176,2646CVP,25/5/2007
Tiguan,Volkswagen,1.0 Turbo,5.3,Híbrido,2001,,9,4,2180,393,Alemania,41397,4712WQR,1/1/2006
i10,Hyundai,1.4 Turbo,9.4,Híbrido,2020,2025,4,4,1897,385,Corea del Sur,26300,8093SFZ,16/12/2021
A180,Mercedes-Benz,2.2 Turbo,5.5,Eléctrico,2013,,9,2,2490,433,Alemania,54498,9092LKP,8/5/2015
i10,Hyundai,3.0 EcoBoost,9.2,Diesel,1995,,4,2,1431,480,Corea del Sur,27750,2169BRU,26/5/1999
RAV4,Toyota,2.2 VTEC,4.7,Diesel,1998,2023,4,2,1917,462,Japón,19976,2325MJC,6/5/2023
Jazz,Honda,1.0 Turbo,7.8,Gasolina,2014,,4,2,2010,318,Japón,17154,2036VPI,2/7/2014
A4,Audi,1.0 T,9.2,Híbrido,2019,2025,8,2,1315,675,Alemania,42631,3607MYA,10/4/2019
Polo,Volkswagen,3.0 Hybrid,4.0,Gasolina,2005,2009,1,2,1269,414,Alemania,25518,8721FGK,2/4/2006
Civic,Honda,3.0 T,4.7,Eléctrico,2021,,1,2,1891,544,Japón,42376,4494AXN,7/11/2024
3008,Peugeot,1.0 Turbo,8.5,Híbrido,2022,2022,9,2,1464,719,Francia,22302,9522DCL,27/2/2022
A3,Audi,2.2 Turbo,5.5,Diesel,2009,,8,4,1824,481,Alemania,29428,6266GDN,11/3/2010
Polo,Volkswagen,3.0 EcoBoost,6.5,Diesel,1995,2007,5,4,1700,739,Alemania,33930,8619VLG,4/4/2003
Corolla,Toyota,1.6 Hybrid,4.6,Eléctrico,2001,2004,1,2,2070,569,Japón,34403,1188BMI,4/2/2003
Kuga,Ford,2.2 Turbo,6.8,Eléctrico,2013,2023,4,2,1143,609,Estados Unidos,46173,1139RGI,27/8/2014
Kona,Hyundai,1.2 Hybrid,5.3,Diesel,2005,2021,8,4,1816,554,Corea del Sur,26756,6667NGS,5/6/2017
M4,BMW,3.0 T,5.9,Híbrido,2011,2016,4,2,1521,735,Alemania,29379,4319UXV,3/10/2016
Mustang,Ford,3.0 Hybrid,7.5,Híbrido,2022,2024,2,4,2343,318,Estados Unidos,41690,1551XDV,8/11/2022
X5,BMW,3.0 VTEC,4.2,Diesel,2016,,9,4,1039,327,Alemania,23368,9662ASK,26/3/2018
C200,Mercedes-Benz,1.4 TDI,3.8,Gasolina,2002,,9,2,2488,416,Alemania,20219,5940ZGS,22/9/2009
Mustang,Ford,1.4 Turbo,8.6,Eléctrico,1996,,5,4,1981,555,Estados Unidos,54954,4779ZHN,5/11/2010
Q5,Audi,2.2 Turbo,7.5,Diesel,2012,2025,1,4,1166,694,Alemania,29124,5901NKO,12/5/2025
A180,Mercedes-Benz,2.2 TDI,7.6,Híbrido,1995,2021,2,2,1983,619,Alemania,30732,4878KGL,28/7/2004
C200,Mercedes-Benz,1.0 TSI,7.6,Gasolina,1996,2011,9,4,1892,739,Alemania,18474,5536UME,15/11/2008
Yaris,Toyota,1.6 VTEC,6.1,Eléctrico,2015,2025,5,4,1746,554,Japón,56688,4690GCJ,3/12/2021
Yaris,Toyota,1.4 Hybrid,9.4,Diesel,2011,2022,4,4,1810,687,Japón,24332,1826QOT,27/1/2021
Captur,Renault,1.0 T,4.0,Híbrido,2005,,9,2,2263,362,Francia,34949,4026KHQ,7/9/2017
Corolla,Toyota,2.0 TDI,7.4,Eléctrico,2006,,5,4,2449,722,Japón,37153,4339HET,22/7/2010
Clio,Renault,2.2 Hybrid,3.6,Híbrido,2016,2021,9,4,1846,725,Francia,24194,6414ZSX,6/11/2021
C200,Mercedes-Benz,1.4 TDI,7.3,Híbrido,2014,2023,5,4,1732,626,Alemania,44708,1613BTY,17/1/2018
Passat,Volkswagen,1.6 EcoBoost,8.0,Gasolina,2018,2022,2,4,2155,790,Alemania,21374,8166BMK,8/3/2018
Kona,Hyundai,1.6 T,5.9,Diesel,2018,,9,2,1660,361,Corea del Sur,34409,8295XFJ,10/12/2019
Megane,Renault,1.4 TDI,8.0,Eléctrico,2002,,9,2,2271,386,Francia,48957,7920OKG,21/11/2009
Clio,Renault,2.0 T,3.9,Eléctrico,2005,2015,8,2,1298,470,Francia,57962,5605LVZ,10/12/2007
E220,Mercedes-Benz,2.2 Hybrid,7.2,Gasolina,2020,2025,8,2,1754,580,Alemania,18686,8266VKE,24/9/2024
i10,Hyundai,3.0 TDI,7.7,Eléctrico,2012,,2,4,2300,787,Corea del Sur,49614,1912WNG,28/12/2022
320i,BMW,2.0 T,5.0,Gasolina,2025,2025,9,2,945,585,Alemania,19730,5811SUW,10/3/2025
Clio,Renault,1.2 T,6.2,Diesel,1999,2011,1,4,1545,737,Francia,29500,6694LEP,20/3/2008
Captur,Renault,1.6 EcoBoost,5.3,Gasolina,2010,2018,9,2,1164,502,Francia,28265,4345OQU,12/12/2014
Accord,Honda,1.0 TDI,9.5,Híbrido,2001,2001,1,4,1025,493,Japón,24446,2869VRI,23/1/2001
Twingo,Renault,1.0 Hybrid,5.2,Diesel,2013,2014,5,2,987,614,Francia,26397,7933TBC,27/12/2014
C200,Mercedes-Benz,2.0 Hybrid,9.2,Diesel,1998,1999,8,4,1949,410,Alemania,30754,6899VFP,18/7/1999
Captur,Renault,1.4 TSI,8.8,Híbrido,1998,2008,1,4,2214,693,Francia,34720,2580UNK,16/9/2006
Polo,Volkswagen,1.4 VTEC,5.0,Híbrido,2004,,9,4,1055,486,Alemania,22686,9661LQW,5/6/2005
Mustang,Ford,1.0 TDI,4.0,Eléctrico,2009,2013,2,4,1321,735,Estados Unidos,56057,5401FXC,16/4/2011
Kuga,Ford,2.2 EcoBoost,4.7,Eléctrico,2015,,9,2,1613,409,Estados Unidos,50597,6550TUD,2/11/2017
Twingo,Renault,1.2 VTEC,8.1,Diesel,2007,2016,5,2,2326,363,Francia,23984,7461JOW,1/5/2015
A4,Audi,2.0 Turbo,5.0,Gasolina,2004,2012,1,4,975,390,Alemania,22304,8344ZOO,27/1/2009
308,Peugeot,1.4 Hybrid,8.6,Diesel,2018,2025,4,4,1981,774,Francia,19069,7396TJH,7/6/2024
Corolla,Toyota,1.0 Turbo,9.2,Diesel,2024,2025,1,4,1600,646,Japón,30332,2401XMD,19/6/2024
Clio,Renault,2.2 Hybrid,9.4,Híbrido,2015,2017,9,4,1464,744,Francia,31349,5244TJJ,26/12/2016
Tucson,Hyundai,2.2 T,4.5,Híbrido,2018,2025,4,2,2248,525,Corea del Sur,31252,5677ZXS,2/12/2022
3008,Peugeot,1.0 VTEC,8.4,Gasolina,2005,2015,8,4,2122,798,Francia,17737,5230ODW,16/12/2011
GLA,Mercedes-Benz,3.0 Turbo,8.3,Gasolina,1999,2021,4,2,1097,502,Alemania,21413,2087SUW,17/9/2016
Focus,Ford,1.0 VTEC,4.1,Gasolina,2023,,4,2,2291,744,Estados Unidos,15635,2362JWY,4/10/2024
Camry,Toyota,1.2 TSI,8.2,Eléctrico,2013,2014,9,2,1926,614,Japón,38712,8116HLJ,20/5/2014
Q5,Audi,2.0 TDI,3.6,Híbrido,2013,2025,8,2,1670,550,Alemania,44371,6378JLB,24/1/2015
Tiguan,Volkswagen,2.0 Turbo,5.4,Gasolina,1997,2012,5,2,2104,422,Alemania,27976,9771KSR,13/9/2009
Jazz,Honda,1.2 TDI,6.9,Híbrido,2006,2020,2,4,1905,395,Japón,31646,4599AZN,5/8/2010
Tucson,Hyundai,2.0 EcoBoost,7.7,Eléctrico,2011,,4,2,976,465,Corea del Sur,48753,3837KOG,2/10/2013
Camry,Toyota,1.4 Turbo,9.1,Híbrido,2005,,8,4,1401,533,Japón,22047,8590SHC,27/11/2008
i10,Hyundai,1.4 Turbo,3.7,Gasolina,2011,,5,2,1740,493,Corea del Sur,22374,1748SPG,7/8/2022
A3,Audi,1.2 Hybrid,5.6,Diesel,2003,,8,2,1010,740,Alemania,20591,7179TKF,5/1/2011
Civic,Honda,3.0 TDI,4.0,Gasolina,2011,2021,5,4,1694,692,Japón,21149,7744DVT,18/7/2014
Polo,Volkswagen,3.0 T,5.8,Eléctrico,2002,2008,2,2,1793,758,Alemania,40164,1808NCN,15/3/2003
C200,Mercedes-Benz,1.4 T,6.5,Diesel,2004,,8,4,1286,663,Alemania,33059,1047RUS,8/2/2012
Civic,Honda,1.2 VTEC,7.4,Diesel,2019,2025,9,2,1855,621,Japón,34597,9989KIN,11/9/2022
Polo,Volkswagen,1.0 Hybrid,8.0,Eléctrico,1996,,1,4,2119,707,Alemania,47512,7978EHT,26/5/2016
Captur,Renault,1.6 Hybrid,9.1,Diesel,2021,2023,4,4,2123,407,Francia,29306,1508NOY,5/10/2022
3008,Peugeot,2.2 VTEC,5.3,Eléctrico,2012,,5,4,963,465,Francia,38478,9287FSH,23/12/2024
RAV4,Toyota,1.6 VTEC,8.7,Eléctrico,2023,2024,2,2,2059,694,Japón,34495,1147KCC,27/9/2024
X3,BMW,3.0 VTEC,7.5,Eléctrico,2006,,4,4,1150,522,Alemania,52475,7889GAP,28/6/2022
3008,Peugeot,3.0 TSI,7.2,Gasolina,2017,2019,9,4,2008,753,Francia,16915,8777UOK,26/12/2019
RAV4,Toyota,1.6 EcoBoost,5.2,Eléctrico,2020,,5,4,2285,505,Japón,51773,3507ZHJ,27/11/2025
Twingo,Renault,1.0 TSI,8.6,Gasolina,2006,,9,2,2254,397,Francia,18425,3366UHH,16/9/2010
Passat,Volkswagen,1.0 TDI,9.0,Eléctrico,2007,2007,2,4,1363,561,Alemania,37144,9260QWL,18/2/2007
Megane,Renault,2.2 EcoBoost,8.1,Diesel,1995,1995,5,4,1007,704,Francia,30271,8122BDL,14/2/1995
Corolla,Toyota,1.0 T,9.0,Eléctrico,2012,,4,4,1314,334,Japón,44689,6161JHX,9/10/2014
