Modelo,Marca,Motor,Consumo,Combustible,Comienzo de producción,Fin de producción,Asientos,Puertas,Peso (kg),Carga máxima (kg),País de origen,Precio estimado (€),Matrícula,Fecha de matriculación
Camry,Toyota,1.4 T,5.5,Híbrido,2008,2019,1,4,954,579,Japón,29219,6971XEE,17/9/2019
Jazz,Honda,3.0 EcoBoost,4.4,Gasolina,2022,2022,4,4,943,461,Japón,24600,7184FNI,23/11/2022
Polo,Volkswagen,3.0 Turbo,7.6,Gasolina,2013,2015,5,4,998,369,Alemania,20840,7165OCF,18/4/2013
Captur,Renault,1.6 Hybrid,4.9,Diesel,2003,2005,2,2,1558,599,Francia,21809,1918HRT,9/10/2003
Passat,Volkswagen,1.2 EcoBoost,7.6,Eléctrico,2006,2015,2,4,2174,528,Alemania,53783,8129NMD,25/5/2008
X5,BMW,2.2 VTEC,6.8,Eléctrico,2015,2015,9,4,1811,473,Alemania,29621,9733GFZ,14/11/2015
Golf,Volkswagen,3.0 TDI,5.1,Híbrido,2021,2024,9,4,2441,301,Alemania,37561,3521HCF,9/2/2022
Fiesta,Ford,3.0 T,8.3,Eléctrico,2002,2023,4,2,1509,309,Estados Unidos,47919,2408WMQ,7/8/2018
Kuga,Ford,2.2 T,8.9,Gasolina,2003,,2,4,2191,404,Estados Unidos,18776,6682PWK,24/5/2023
Camry,Toyota,2.2 Turbo,4.1,Híbrido,2004,2018,2,2,2266,387,Japón,44586,2130NHD,17/10/2005
Accord,Honda,3.0 Turbo,8.6,Eléctrico,2019,,1,2,2278,378,Japón,39773,6525RGJ,12/5/2020
Q5,Audi,1.2 EcoBoost,6.0,Eléctrico,2017,2020,8,2,1976,696,Alemania,47564,4200NLC,16/6/2018
RAV4,Toyota,1.4 T,7.8,Gasolina,2012,2019,2,4,2464,567,Japón,28867,5201GBI,3/6/2013
308,Peugeot,1.2 VTEC,8.3,Diesel,2024,2025,8,2,1924,729,Francia,29127,2092TSM,20/7/2025
E220,Mercedes-Benz,2.0 T,4.5,Diesel,2003,2025,5,2,1951,557,Alemania,32770,7072VBM,10/12/2023
Megane,Renault,1.0 T,5.4,Eléctrico,1996,,8,4,1114,466,Francia,52165,6823CBC,19/11/1997
208,Peugeot,1.0 Hybrid,6.5,Gasolina,2005,2024,8,2,1004,599,Francia,24053,1575DLZ,8/12/2010
Civic,Honda,2.2 VTEC,4.8,Eléctrico,2012,2014,5,2,1684,731,Japón,40276,9714ICF,15/7/2014
Captur,Renault,1.0 EcoBoost,4.5,Diesel,2011,2024,4,4,1564,498,Francia,32649,9175YXO,6/2/2024
X5,BMW,1.6 TDI,5.7,Diesel,2007,,8,4,1437,714,Alemania,19392,6557JFM,8/7/2011
Twingo,Renault,1.0 EcoBoost,8.4,Gasolina,2014,2022,2,4,1944,450,Francia,23706,6667NSH,16/12/2014
Kuga,Ford,1.0 TSI,4.7,Diesel,2011,,9,2,1245,604,Estados Unidos,20571,9140IVQ,21/8/2011
A3,Audi,2.0 Turbo,7.1,Eléctrico,2004,2016,4,4,1239,588,Alemania,45077,8839KRP,26/2/2012
CR-V,Honda,1.4 TSI,9.4,Eléctrico,1999,,8,4,1141,535,Japón,32353,2187FZU,19/3/2021
