Modelo,Marca,Motor,Consumo,Combustible,Comienzo de producción,Fin de producción,Asientos,Puertas,Peso (kg),Carga máxima (kg),País de origen,Precio estimado (€),Matrícula,Fecha de matriculación
Fiesta,Ford,1.0 TDI,7.7,Gasolina,2004,,1,4,1406,541,Estados Unidos,28664,6925SSX,21/7/2018
Passat,Volkswagen,1.4 T,7.6,Híbrido,1997,2004,2,2,1774,398,Alemania,40331,9113BMG,17/7/2001
Kona,Hyundai,2.0 Hybrid,4.3,Diesel,1999,,8,4,1659,415,Corea del Sur,28597,9760PNB,6/8/2008
Passat,Volkswagen,1.2 TSI,5.9,Eléctrico,2011,,4,2,1505,662,Alemania,32424,2264XCQ,11/6/2013
Twingo,Renault,1.6 Turbo,8.3,Eléctrico,1996,2024,4,2,1204,464,Francia,45510,8930MPN,23/9/2012
A180,Mercedes-Benz,1.0 EcoBoost,5.5,Diesel,1997,,1,4,2055,401,Alemania,18888,4302FMT,1/7/2005
M4,BMW,1.2 TDI,5.3,Eléctrico,2023,2025,2,2,1390,610,Alemania,37942,4987VQX,16/1/2024
Yaris,Toyota,2.2 TDI,4.8,Híbrido,2014,2023,9,2,1040,570,Japón,30133,7272RAI,5/8/2018
Civic,Honda,2.0 EcoBoost,6.8,Diesel,2015,,1,2,951,407,Japón,31687,6793SGM,18/5/2025
Kuga,Ford,1.2 Turbo,8.8,Eléctrico,2025,2025,1,4,1513,747,Estados Unidos,41334,2651ARE,7/12/2025
Twingo,Renault,3.0 EcoBoost,9.3,Diesel,2000,2004,4,4,1092,395,Francia,27070,7895GAO,1/1/2001
Fiesta,Ford,1.4 T,5.1,Eléctrico,2010,,2,4,1506,749,Estados Unidos,28438,4432PEX,8/8/2024
Megane,Renault,3.0 TDI,5.5,Gasolina,2014,2024,1,4,1778,749,Francia,27793,6647SSR,19/6/2024
Kona,Hyundai,3.0 TSI,8.0,Híbrido,2002,2016,9,2,1204,461,Corea del Sur,22266,5876RVN,15/1/2005
Captur,Renault,2.2 Hybrid,7.7,Híbrido,2020,2025,2,4,1299,636,Francia,41279,4774UHL,8/8/2024
320i,BMW,2.0 EcoBoost,9.1,Híbrido,1997,,5,4,2232,668,Alemania,32936,4528JLZ,10/7/2009
A6,Audi,1.4 TSI,7.2,Gasolina,2020,2020,4,4,2283,582,Alemania,23386,9312QQL,14/2/2020
Megane,Renault,2.0 Turbo,9.0,Diesel,2025,2025,2,4,2122,331,Francia,31540,7350UAF,23/12/2025
Tucson,Hyundai,1.2 Hybrid,6.5,Diesel,2014,,1,2,2123,722,Corea del Sur,21285,4737CMG,20/7/2015
RAV4,Toyota,1.6 Hybrid,8.6,Híbrido,2024,2025,5,4,1015,575,Japón,35019,4045HHU,11/6/2025
Tucson,Hyundai,2.0 TSI,6.8,Gasolina,1996,2017,5,2,1279,671,Corea del Sur,21080,3532WFV,23/2/2002
A3,Audi,1.4 EcoBoost,9.1,Gasolina,2002,2007,1,2,1005,796,Alemania,21478,3022MAH,3/7/2005
i10,Hyundai,1.6 TSI,5.2,Híbrido,2020,2022,1,2,2245,385,Corea del Sur,43056,7485XPD,3/12/2021
208,Peugeot,1.2 TSI,5.0,Híbrido,1997,,2,4,1107,333,Francia,38250,2132VFW,9/10/2010
i20,Hyundai,1.2 VTEC,7.2,Eléctrico,2019,2020,5,4,2442,535,Corea del Sur,50159,5161LOT,24/7/2020
Jazz,Honda,2.2 Turbo,5.6,Gasolina,1999,2023,1,4,942,607,Japón,27910,8798CWP,3/7/2020
308,Peugeot,1.4 TDI,6.0,Eléctrico,2020,2023,1,4,2026,311,Francia,28062,5181BYI,15/4/2022
Tucson,Hyundai,1.6 TDI,6.1,Híbrido,1999,2010,8,2,1118,433,Corea del Sur,34311,2300VDF,4/7/2001
RAV4,Toyota,3.0 EcoBoost,8.2,Eléctrico,2012,2018,2,2,1477,727,Japón,54013,4219YUE,19/5/2017
Focus,Ford,1.4 TDI,6.2,Gasolina,2007,,1,4,1607,542,Estados Unidos,23915,9404PAB,6/2/2022
E220,Mercedes-Benz,1.0 TDI,5.9,Gasolina,2007,,1,4,1980,547,Alemania,22013,5233NIK,11/4/2024
Twingo,Renault,1.0 T,6.8,Gasolina,2006,2015,5,4,1577,575,Francia,28187,4739NTR,20/10/2015
M4,BMW,1.4 T,7.9,Gasolina,2001,,8,4,1202,754,Alemania,17351,6818EKC,15/2/2018
X3,BMW,1.4 VTEC,6.3,Diesel,2020,2020,2,4,1319,719,Alemania,29805,2539GNE,21/5/2020
A6,Audi,1.2 TSI,4.1,Eléctrico,2024,,9,2,1195,520,Alemania,52974,8521OVO,11/6/2025
Golf,Volkswagen,1.2 TDI,3.6,Gasolina,2007,2015,2,4,2465,605,Alemania,28345,7887YRB,3/2/2009
Mustang,Ford,1.4 EcoBoost,8.2,Gasolina,2007,,5,2,1692,306,Estados Unidos,29975,1680FBE,27/9/2022
Megane,Renault,1.4 Hybrid,4.6,Diesel,2024,2024,2,4,1508,717,Francia,20526,2209QRC,3/5/2024
Golf,Volkswagen,1.0 Turbo,7.8,Híbrido,2011,2023,9,2,1576,480,Alemania,25173,8808UQC,19/6/2017
M4,BMW,2.2 Hybrid,4.7,Diesel,2014,,5,2,2181,554,Alemania,21391,2815UIF,3/4/2022
Golf,Volkswagen,1.6 Turbo,7.6,Híbrido,2003,2019,8,4,1577,729,Alemania,34112,5242CBZ,8/10/2014
A3,Audi,2.2 EcoBoost,4.3,Diesel,2000,2019,4,4,1311,344,Alemania,33172,5997HOG,7/2/2009
Clio,Renault,1.2 TSI,5.6,Híbrido,2021,2025,2,4,1985,317,Francia,23373,3479KJK,15/5/2023
Mustang,Ford,2.2 TSI,9.3,Híbrido,2020,2025,1,2,1443,315,Estados Unidos,26065,2912EKZ,24/1/2022
Corolla,Toyota,1.4 T,8.7,Gasolina,2025,2025,4,4,2218,458,Japón,20326,8846NYI,7/7/2025
i10,Hyundai,1.4 VTEC,4.8,Híbrido,2007,2019,1,4,1429,578,Corea del Sur,27062,4585SFH,26/12/2011
320i,BMW,1.0 Hybrid,6.3,Gasolina,1996,2024,4,4,916,675,Alemania,16060,9465RRF,27/8/2010
Q5,Audi,2.2 Turbo,6.7,Eléctrico,1995,,8,4,1866,303,Alemania,33488,2517HVC,20/10/2023
C200,Mercedes-Benz,2.2 T,3.7,Gasolina,2010,2018,8,2,1202,559,Alemania,26912,1723YJN,21/12/2012
Corolla,Toyota,1.4 TDI,5.2,Diesel,1999,,2,2,2095,343,Japón,29275,4800PMS,22/3/2003
